Element	NetName	NetID	Archetype	Slot/Category	Type
ArmorPart	MPArmorBootsExecutioner	3553788608		Boots	Spy
ArmorPart	MPArmorBootsGhost	2910693853		Boots	Spy
ArmorPart	MPArmorBootsHeavy	889631393		Boots	Merc
ArmorPart	MPArmorBootsHunter	1916777351		Boots	Merc
ArmorPart	MPArmorBootsIntelScout	1039383261		Boots	Spy
ArmorPart	MPArmorBootsMercDefault	2012733723		Boots	Merc
ArmorPart	MPArmorBootsSpyDefault	1677666928		Boots	Spy
ArmorPart	MPArmorBootsTech	713453701		Boots	Merc
ArmorPart	MPArmorGlovesExecutioner	3902799319		Gloves	Spy
ArmorPart	MPArmorGlovesGhost	589071948		Gloves	Spy
ArmorPart	MPArmorGlovesHeavy	3144129840		Gloves	Merc
ArmorPart	MPArmorGlovesHunter	1399714945		Gloves	Merc
ArmorPart	MPArmorGlovesIntelScout	719795786		Gloves	Spy
ArmorPart	MPArmorGlovesMercDefault	1287298572		Gloves	Merc
ArmorPart	MPArmorGlovesSpyDefault	1961600743		Gloves	Spy
ArmorPart	MPArmorGlovesTech	664762860		Gloves	Merc
ArmorPart	MPArmorHelmetExecutioner	1829099407		HeadGear	Spy
ArmorPart	MPArmorHelmetGhost	2154296251		HeadGear	Spy
ArmorPart	MPArmorHelmetHeavy	404547783		HeadGear	Merc
ArmorPart	MPArmorHelmetHunter	3291554552		HeadGear	Merc
ArmorPart	MPArmorHelmetIntelScout	3254627829		HeadGear	Spy
ArmorPart	MPArmorHelmetMercDefault	3374363732		HeadGear	Merc
ArmorPart	MPArmorHelmetSpyDefault	2683387224		HeadGear	Spy
ArmorPart	MPArmorHelmetTech	624424283		HeadGear	Merc
ArmorPart	MPArmorPantsExecutioner	2405021318		Pants	Spy
ArmorPart	MPArmorPantsGhost	4041252461		Pants	Spy
ArmorPart	MPArmorPantsHeavy	1755022609		Pants	Merc
ArmorPart	MPArmorPantsHunter	3478954958		Pants	Merc
ArmorPart	MPArmorPantsIntelScout	3065804369		Pants	Spy
ArmorPart	MPArmorPantsMercDefault	729601373		Pants	Merc
ArmorPart	MPArmorPantsSpyDefault	3903907580		Pants	Spy
ArmorPart	MPArmorPantsTech	1025595717		Pants	Merc
ArmorPart	MPArmorTorsoGhost	1719599494		Torso	Spy
ArmorPart	MPArmorTorsoGhostElite	1618133525		Torso	Spy
ArmorPart	MPArmorTorsoHeavy	4261681914		Torso	Merc
ArmorPart	MPArmorTorsoHeavyElite	2689340070		Torso	Merc
ArmorPart	MPArmorTorsoHunter	556323145		Torso	Merc
ArmorPart	MPArmorTorsoHunterElite	1786204924		Torso	Merc
ArmorPart	MPArmorTorsoIntelScout	3209762908		Torso	Spy
ArmorPart	MPArmorTorsoIntelScoutElite	2952052149		Torso	Spy
ArmorPart	MPArmorTorsoSaboteur	3186455752		Torso	Spy
ArmorPart	MPArmorTorsoSaboteurElite	3000975656		Torso	Spy
ArmorPart	MPArmorTorsoTech	3623398910		Torso	Merc
ArmorPart	MPArmorTorsoTechElite	1687381635		Torso	Merc
ArmorPart	SPBootsSuitA	3104011544		Boots	Campaign
ArmorPart	SPBootsSuitB	3024114625		Boots	Campaign
ArmorPart	SPBootsSuitC	2961264246		Boots	Campaign
ArmorPart	SPBootsSuitD	2932219507		Boots	Campaign
ArmorPart	SPBootsSuitE	2852586436		Boots	Campaign
ArmorPart	SPBootsSuitF	2806261021		Boots	Campaign
ArmorPart	SPBootsSuitG	2743417002		Boots	Campaign
ArmorPart	SPBootsSuitH	2613740823		Boots	Campaign
ArmorPart	SPBootsSuitI	2668337312		Boots	Campaign
ArmorPart	SPBootsSuitJ	2454240889		Boots	Campaign
ArmorPart	SPBootsSuitK	2525602766		Boots	Campaign
ArmorPart	SPBootsSuitL	2295264203		Boots	Campaign
ArmorPart	SPBootsSuitM	2349854332		Boots	Campaign
ArmorPart	SPBootsSuitO	2240664850		Boots	Campaign
ArmorPart	SPGlovesSuitA	842606171		Gloves	Campaign
ArmorPart	SPGlovesSuitB	1064960130		Gloves	Campaign
ArmorPart	SPGlovesSuitC	1002118453		Gloves	Campaign
ArmorPart	SPGlovesSuitD	637291824		Gloves	Campaign
ArmorPart	SPGlovesSuitE	557666439		Gloves	Campaign
ArmorPart	SPGlovesSuitF	746485342		Gloves	Campaign
ArmorPart	SPGlovesSuitG	683633641		Gloves	Campaign
ArmorPart	SPGlovesSuitH	284218964		Gloves	Campaign
ArmorPart	SPGlovesSuitI	338807779		Gloves	Campaign
ArmorPart	SPGlovesSuitJ	426962234		Gloves	Campaign
ArmorPart	SPGlovesSuitK	498331789		Gloves	Campaign
ArmorPart	SPGlovesSuitL	66363528		Gloves	Campaign
ArmorPart	SPGlovesSuitN	175545318		Gloves	Campaign
ArmorPart	SPHelmetSuitA	2437043116		HeadGear	Campaign
ArmorPart	SPHelmetSuitB	2617341301		HeadGear	Campaign
ArmorPart	SPHelmetSuitC	2562746562		HeadGear	Campaign
ArmorPart	SPHelmetSuitD	2257008839		HeadGear	Campaign
ArmorPart	SPHelmetSuitE	2185635184		HeadGear	Campaign
ArmorPart	SPHelmetSuitF	2399470505		HeadGear	Campaign
ArmorPart	SPHelmetSuitG	2344885790		HeadGear	Campaign
ArmorPart	SPHelmetSuitH	3012273059		HeadGear	Campaign
ArmorPart	SPHelmetSuitI	3075128852		HeadGear	Campaign
ArmorPart	SPPantsSuitA	3835577000		Pants	Campaign
ArmorPart	SPPantsSuitB	3923600497		Pants	Campaign
ArmorPart	SPPantsSuitC	3978066374		Pants	Campaign
ArmorPart	SPPantsSuitD	4082837955		Pants	Campaign
ArmorPart	SPPantsSuitE	4154078324		Pants	Campaign
ArmorPart	SPPantsSuitF	4208530093		Pants	Campaign
ArmorPart	SPPantsSuitG	4262989594		Pants	Campaign
ArmorPart	SPPantsSuitH	3327636135		Pants	Campaign
ArmorPart	SPPantsSuitI	3264655120		Pants	Campaign
ArmorPart	SPPantsSuitJ	3486878153		Pants	Campaign
ArmorPart	SPPantsSuitK	3407123582		Pants	Campaign
ArmorPart	SPPantsSuitL	3579036795		Pants	Campaign
ArmorPart	SPTorsoSuitA	1912724803		Torso	Campaign
ArmorPart	SPTorsoSuitB	2135096218		Torso	Campaign
ArmorPart	SPTorsoSuitC	2072241709		Torso	Campaign
ArmorPart	SPTorsoSuitD	1707390504		Torso	Campaign
ArmorPart	SPTorsoSuitE	1627761567		Torso	Campaign
ArmorPart	SPTorsoSuitF	1816563014		Torso	Campaign
ArmorPart	SPTorsoSuitG	1753714929		Torso	Campaign
ArmorPart	SPTorsoSuitH	1355296076		Torso	Campaign
ArmorPart	SPTorsoSuitI	1409888507		Torso	Campaign
ArmorPart	SPTorsoSuitJ	1498027554		Torso	Campaign
ArmorPart	SPTorsoSuitK	1569393557		Torso	Campaign
ArmorPart	SPTorsoSuitL	1137466256		Torso	Campaign
Attachment	ADV_Merc_Assault_ACE.ADV_Ammo_AP	2077677861	ADV_Ammo_AP	Ammo	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_Ammo_MatchGrade	3591025576	ADV_Ammo_MatchGrade	Ammo	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_FP_Assault_MuzzleBreak	3531196874	ADV_FP_Assault_MuzzleBreak	Muzzle	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_FP_Assault_Sight_Holo	4259080043	ADV_FP_Assault_Sight_Holo	Optic	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_FP_Assault_Sight_RedDot	1178484984	ADV_FP_Assault_Sight_RedDot	Optic	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_FP_Assault_Sight_ScopeAcog	575179415	ADV_FP_Assault_Sight_ScopeAcog	Optic	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_FP_Assault_Silencer	3114004570	ADV_FP_Assault_Silencer	Muzzle	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_Internal_BarrelAcc	1407870161	ADV_Internal_BarrelAcc	Internal	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_Internal_Blueprinting	3972355356	ADV_Internal_Blueprinting	Internal	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_Internal_MatchGradeTrigger	2216388930	ADV_Internal_MatchGradeTrigger	Internal	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_Internal_RecoilBufferAdj	2646463584	ADV_Internal_RecoilBufferAdj	Internal	Merc
Attachment	ADV_Merc_Assault_ACE.ADV_Internal_WeightBalance	480015633	ADV_Internal_WeightBalance	Internal	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_Ammo_AP	3807744832	ADV_Ammo_AP	Ammo	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_Ammo_MatchGrade	4175643888	ADV_Ammo_MatchGrade	Ammo	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_FP_Assault_MuzzleBreak	1701166590	ADV_FP_Assault_MuzzleBreak	Muzzle	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_FP_Assault_Sight_Holo	1221092673	ADV_FP_Assault_Sight_Holo	Optic	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_FP_Assault_Sight_RedDot	2176796608	ADV_FP_Assault_Sight_RedDot	Optic	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_FP_Assault_Sight_ScopeAcog	1869816834	ADV_FP_Assault_Sight_ScopeAcog	Optic	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_FP_Assault_Silencer	792854867	ADV_FP_Assault_Silencer	Muzzle	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_Internal_BarrelAcc	4284314218	ADV_Internal_BarrelAcc	Internal	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_Internal_Blueprinting	1506891574	ADV_Internal_Blueprinting	Internal	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_Internal_MatchGradeTrigger	3374368727	ADV_Internal_MatchGradeTrigger	Internal	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_Internal_RecoilBufferAdj	1866519887	ADV_Internal_RecoilBufferAdj	Internal	Merc
Attachment	ADV_Merc_Assault_AK47.ADV_Internal_WeightBalance	2877292837	ADV_Internal_WeightBalance	Internal	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_Ammo_AP	1196014103	ADV_Ammo_AP	Ammo	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_Ammo_MatchGrade	2270606877	ADV_Ammo_MatchGrade	Ammo	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_FP_Assault_MuzzleBreak	1598146947	ADV_FP_Assault_MuzzleBreak	Muzzle	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_FP_Assault_Sight_Holo	3158085786	ADV_FP_Assault_Sight_Holo	Optic	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_FP_Assault_Sight_RedDot	1358755968	ADV_FP_Assault_Sight_RedDot	Optic	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_FP_Assault_Sight_ScopeAcog	714830390	ADV_FP_Assault_Sight_ScopeAcog	Optic	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_FP_Assault_Silencer	1364554045	ADV_FP_Assault_Silencer	Muzzle	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_Internal_BarrelAcc	564566511	ADV_Internal_BarrelAcc	Internal	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_Internal_Blueprinting	2904924909	ADV_Internal_Blueprinting	Internal	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_Internal_MatchGradeTrigger	2361954787	ADV_Internal_MatchGradeTrigger	Internal	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_Internal_RecoilBufferAdj	1528292999	ADV_Internal_RecoilBufferAdj	Internal	Merc
Attachment	ADV_Merc_Assault_ARX160.ADV_Internal_WeightBalance	2443474264	ADV_Internal_WeightBalance	Internal	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_Ammo_AP	1179057383	ADV_Ammo_AP	Ammo	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_Ammo_MatchGrade	2428045808	ADV_Ammo_MatchGrade	Ammo	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_FP_Assault_MuzzleBreak	721988024	ADV_FP_Assault_MuzzleBreak	Muzzle	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_FP_Assault_Sight_Holo	2872731269	ADV_FP_Assault_Sight_Holo	Optic	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_FP_Assault_Sight_RedDot	2951812881	ADV_FP_Assault_Sight_RedDot	Optic	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_FP_Assault_Sight_ScopeAcog	719085512	ADV_FP_Assault_Sight_ScopeAcog	Optic	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_FP_Assault_Silencer	992448264	ADV_FP_Assault_Silencer	Muzzle	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_Internal_BarrelAcc	1248748791	ADV_Internal_BarrelAcc	Internal	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_Internal_Blueprinting	3122877682	ADV_Internal_Blueprinting	Internal	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_Internal_MatchGradeTrigger	2358230045	ADV_Internal_MatchGradeTrigger	Internal	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_Internal_RecoilBufferAdj	2050280769	ADV_Internal_RecoilBufferAdj	Internal	Merc
Attachment	ADV_Merc_Assault_FAMASG2.ADV_Internal_WeightBalance	3857519971	ADV_Internal_WeightBalance	Internal	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_Ammo_AP	679235742	ADV_Ammo_AP	Ammo	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_Ammo_MatchGrade	2132467399	ADV_Ammo_MatchGrade	Ammo	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_FP_Assault_MuzzleBreak	1652562656	ADV_FP_Assault_MuzzleBreak	Muzzle	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_FP_Assault_Sight_Holo	2040851160	ADV_FP_Assault_Sight_Holo	Optic	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_FP_Assault_Sight_RedDot	4045920541	ADV_FP_Assault_Sight_RedDot	Optic	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_FP_Assault_Sight_ScopeAcog	416980975	ADV_FP_Assault_Sight_ScopeAcog	Optic	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_FP_Assault_Silencer	3236446768	ADV_FP_Assault_Silencer	Muzzle	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_Internal_BarrelAcc	1024989901	ADV_Internal_BarrelAcc	Internal	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_Internal_Blueprinting	1757272239	ADV_Internal_Blueprinting	Internal	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_Internal_MatchGradeTrigger	3196681274	ADV_Internal_MatchGradeTrigger	Internal	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_Internal_RecoilBufferAdj	1332117739	ADV_Internal_RecoilBufferAdj	Internal	Merc
Attachment	ADV_Merc_Assault_G36C.ADV_Internal_WeightBalance	2892342843	ADV_Internal_WeightBalance	Internal	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_Ammo_AP	1766959993	ADV_Ammo_AP	Ammo	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_Ammo_MatchGrade	4290356290	ADV_Ammo_MatchGrade	Ammo	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_FP_Assault_MuzzleBreak	2051586057	ADV_FP_Assault_MuzzleBreak	Muzzle	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_FP_Assault_Sight_Holo	2826339338	ADV_FP_Assault_Sight_Holo	Optic	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_FP_Assault_Sight_RedDot	375375817	ADV_FP_Assault_Sight_RedDot	Optic	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_FP_Assault_Sight_ScopeAcog	1457984431	ADV_FP_Assault_Sight_ScopeAcog	Optic	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_FP_Assault_Silencer	1141062089	ADV_FP_Assault_Silencer	Muzzle	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_Internal_BarrelAcc	767046462	ADV_Internal_BarrelAcc	Internal	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_Internal_Blueprinting	3111106173	ADV_Internal_Blueprinting	Internal	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_Internal_MatchGradeTrigger	4038389882	ADV_Internal_MatchGradeTrigger	Internal	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_Internal_RecoilBufferAdj	1293862336	ADV_Internal_RecoilBufferAdj	Internal	Merc
Attachment	ADV_Merc_Assault_Goblin.ADV_Internal_WeightBalance	3031237842	ADV_Internal_WeightBalance	Internal	Merc
Attachment	ADV_Merc_Assault_HoneyBadger.ADV_Ammo_AP	3329029028	ADV_Ammo_AP	Ammo	Merc
Attachment	ADV_Merc_Assault_HoneyBadger.ADV_Ammo_MatchGrade	3898183786	ADV_Ammo_MatchGrade	Ammo	Merc
Attachment	ADV_Merc_Assault_HoneyBadger.ADV_FP_Assault_Sight_Holo	3219562642	ADV_FP_Assault_Sight_Holo	Optic	Merc
Attachment	ADV_Merc_Assault_HoneyBadger.ADV_FP_Assault_Sight_RedDot	534707937	ADV_FP_Assault_Sight_RedDot	Optic	Merc
Attachment	ADV_Merc_Assault_HoneyBadger.ADV_FP_Assault_Sight_ScopeAcog	4034781833	ADV_FP_Assault_Sight_ScopeAcog	Optic	Merc
Attachment	ADV_Merc_Assault_HoneyBadger.ADV_Internal_BarrelAcc	1068480912	ADV_Internal_BarrelAcc	Internal	Merc
Attachment	ADV_Merc_Assault_HoneyBadger.ADV_Internal_Blueprinting	2935984869	ADV_Internal_Blueprinting	Internal	Merc
Attachment	ADV_Merc_Assault_HoneyBadger.ADV_Internal_MatchGradeTrigger	1445855580	ADV_Internal_MatchGradeTrigger	Internal	Merc
Attachment	ADV_Merc_Assault_HoneyBadger.ADV_Internal_RecoilBufferAdj	4080803745	ADV_Internal_RecoilBufferAdj	Internal	Merc
Attachment	ADV_Merc_Assault_HoneyBadger.ADV_Internal_WeightBalance	3081716432	ADV_Internal_WeightBalance	Internal	Merc
Attachment	ADV_Merc_Assault_M416.ADV_Ammo_AP	2132823988	ADV_Ammo_AP	Ammo	Merc
Attachment	ADV_Merc_Assault_M416.ADV_Ammo_MatchGrade	3102830183	ADV_Ammo_MatchGrade	Ammo	Merc
Attachment	ADV_Merc_Assault_M416.ADV_FP_Assault_MuzzleBreak	107847267	ADV_FP_Assault_MuzzleBreak	Muzzle	Merc
Attachment	ADV_Merc_Assault_M416.ADV_FP_Assault_Sight_Holo	3689307739	ADV_FP_Assault_Sight_Holo	Optic	Merc
Attachment	ADV_Merc_Assault_M416.ADV_FP_Assault_Sight_RedDot	2500653742	ADV_FP_Assault_Sight_RedDot	Optic	Merc
Attachment	ADV_Merc_Assault_M416.ADV_FP_Assault_Sight_ScopeAcog	923597147	ADV_FP_Assault_Sight_ScopeAcog	Optic	Merc
Attachment	ADV_Merc_Assault_M416.ADV_FP_Assault_Silencer	3041070543	ADV_FP_Assault_Silencer	Muzzle	Merc
Attachment	ADV_Merc_Assault_M416.ADV_Internal_BarrelAcc	1121598366	ADV_Internal_BarrelAcc	Internal	Merc
Attachment	ADV_Merc_Assault_M416.ADV_Internal_Blueprinting	3405737004	ADV_Internal_Blueprinting	Internal	Merc
Attachment	ADV_Merc_Assault_M416.ADV_Internal_MatchGradeTrigger	2438929038	ADV_Internal_MatchGradeTrigger	Internal	Merc
Attachment	ADV_Merc_Assault_M416.ADV_Internal_RecoilBufferAdj	4286513255	ADV_Internal_RecoilBufferAdj	Internal	Merc
Attachment	ADV_Merc_Assault_M416.ADV_Internal_WeightBalance	3364364984	ADV_Internal_WeightBalance	Internal	Merc
Attachment	ADV_Merc_Assault_SA58.ADV_Ammo_AP	553499037	ADV_Ammo_AP	Ammo	Merc
Attachment	ADV_Merc_Assault_SA58.ADV_Ammo_MatchGrade	3750194880	ADV_Ammo_MatchGrade	Ammo	Merc
Attachment	ADV_Merc_Assault_SA58.ADV_FP_Assault_MuzzleBreak	2492291864	ADV_FP_Assault_MuzzleBreak	Muzzle	Merc
Attachment	ADV_Merc_Assault_SA58.ADV_FP_Assault_Sight_Holo	2407042529	ADV_FP_Assault_Sight_Holo	Optic	Merc
Attachment	ADV_Merc_Assault_SA58.ADV_FP_Assault_Sight_RedDot	1583465709	ADV_FP_Assault_Sight_RedDot	Optic	Merc
Attachment	ADV_Merc_Assault_SA58.ADV_FP_Assault_Sight_ScopeAcog	1255376928	ADV_FP_Assault_Sight_ScopeAcog	Optic	Merc
Attachment	ADV_Merc_Assault_SA58.ADV_FP_Assault_Silencer	3091779700	ADV_FP_Assault_Silencer	Muzzle	Merc
